Date,Quantity
2024-01-05,4
2024-01-12,3
2024-01-19,2
2024-01-26,5
2024-02-02,2
2024-02-09,4
2024-02-16,3
2024-02-23,2
2024-03-01,3
2024-03-08,4
2024-03-15,2
2024-03-22,5
2024-03-29,3
2024-04-05,4
2024-04-12,3
2024-04-19,2
2024-04-26,4
2024-05-03,3
2024-05-10,2
2024-05-17,5
2024-05-24,3
2024-05-31,4
2024-06-07,2
2024-06-14,4
2024-06-21,3
2024-06-28,2
2024-07-05,4
2024-07-12,3
2024-07-19,5
2024-07-26,3
2024-08-02,4
2024-08-09,2
2024-08-16,4
2024-08-23,3
2024-08-30,2
2024-09-06,5
2024-09-13,3
2024-09-20,4
2024-09-27,2
2024-10-04,4
2024-10-11,3
2024-10-18,5
2024-10-25,2
2024-11-01,4
2024-11-08,3
2024-11-15,2
2024-11-22,4
2024-11-29,3
2024-12-06,2
2024-12-13,4
2024-12-20,3
2024-12-27,5
